How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?
More than 1000,1.0,1.0,Yes,Not knowing could be a bad thing.,Yes,Not knowing could be a bad thing.,"Yes, I experienced",Maybe,Yes,Yes,54.0,Male,United States of America,Washington,United States of America,Oregon
More than 1000,0.0,1.0,Maybe,depends on the setting and how comfortable I was feeling,Maybe,depends on the setting and how comfortable I was feeling,"Yes, I observed",Yes,Yes,Yes,47.0,m,United States of America,Ohio,United States of America,Ohio
More than 1000,1.0,1.0,Yes,,Yes,,No,No,No,No,33.0,Male,Sweden,,Sweden,
100-500,1.0,1.0,No,Too much of a chance of discrimination,No,Too much of a chance of discrimination,No,No,No,Yes,30.0,,United States of America,Utah,United States of America,Utah
More than 1000,0.0,1.0,Yes,I would bring it up if I felt like necessary accommodations were reasonable and my performance would not suffer. ,No,I would bring it up if I felt like necessary accommodations were reasonable and my performance would not suffer. ,Maybe/Not sure,No,Possibly,Possibly,48.0,Male,United States of America,Massachusetts,United States of America,Massachusetts
More than 1000,1.0,1.0,Maybe,"I am always honest, but like to keep my cards close to my chest. I would share on a need-to-know basis, only if I felt I needed accommodation and there was something they could do about it.",Maybe,"I am always honest, but like to keep my cards close to my chest. I would share on a need-to-know basis, only if I felt I needed accommodation and there was something they could do about it.",No,No,Possibly,Possibly,35.0,male,United States of America,Idaho,United States of America,Idaho
26-100,0.0,1.0,Yes,"It can help me to gauge the situation, and see where they really stand on these issues",No,"It can help me to gauge the situation, and see where they really stand on these issues","Yes, I observed",No,No,No,34.0,Male,United States of America,Tennessee,United States of America,Tennessee
,,,Yes,,Maybe,,No,No,No,No,31.0,Male,Serbia,,Serbia,
500-1000,1.0,1.0,Maybe,Depends on if I the issue affects my work or if it would require accommodations. ,No,Depends on if I the issue affects my work or if it would require accommodations. ,Maybe/Not sure,,Possibly,Possibly,25.0,male,United States of America,Tennessee,United States of America,Tennessee
More than 1000,1.0,1.0,Yes,It is very important to prevent,No,It is very important to prevent,Maybe/Not sure,Maybe,Yes,Yes,48.0,male,Spain,,Spain,
100-500,0.0,1.0,No,,No,,Maybe/Not sure,Maybe,Yes,Yes,34.0,Male,United States of America,California,United States of America,California
100-500,1.0,1.0,No,,No,,"Yes, I observed",Yes,Yes,No,42.0,M,United States of America,California,United States of America,California
100-500,1.0,1.0,Yes,Physical health is generally seen as more acceptable.,No,Physical health is generally seen as more acceptable.,No,No,Possibly,Yes,27.0,Male,United States of America,Illinois,United States of America,Illinois
More than 1000,1.0,1.0,Yes,I would bring it up if it affects my attendance,No,I would bring it up if it affects my attendance,No,No,No,Possibly,33.0,Female,United States of America,California,United States of America,California
26-100,1.0,1.0,No,Because I donât want to give them a reason to disqualify me from a job. ,No,Because I donât want to give them a reason to disqualify me from a job. ,"Yes, I observed",No,Yes,Yes,27.0,Female,United States of America,Maryland,United States of America,District of Columbia
500-1000,1.0,1.0,No,,No,,Maybe/Not sure,,Possibly,Possibly,48.0,m,United States of America,Minnesota,United States of America,Minnesota
More than 1000,1.0,1.0,Maybe,"if it didn't have any influence on my ability to do my job, I probably wouldn't. ",No,"if it didn't have any influence on my ability to do my job, I probably wouldn't. ",Maybe/Not sure,Yes,Yes,Yes,32.0,f,United States of America,Virginia,United States of America,Washington
100-500,1.0,1.0,No,"I feel that there is an implicit bias against physical disorders that would affect my potential of getting a job. Unless the physical issue was severe enough that I would certainly need to be accommodated, I would not discuss it.",No,"I feel that there is an implicit bias against physical disorders that would affect my potential of getting a job. Unless the physical issue was severe enough that I would certainly need to be accommodated, I would not discuss it.",Maybe/Not sure,No,Yes,Yes,29.0,Male,United States of America,Texas,United States of America,Texas
,,,Maybe,could lead to not getting job if they think it would affect my attendance / productivity.,No,could lead to not getting job if they think it would affect my attendance / productivity.,Maybe/Not sure,Maybe,,Yes,36.0,Female,United States of America,Minnesota,United States of America,Minnesota
,,,No,Not relevant to the job.,No,Not relevant to the job.,Maybe/Not sure,,Yes,Yes,29.0,Female,United Kingdom,,United Kingdom,
100-500,1.0,1.0,Maybe,,Maybe,,Maybe/Not sure,Maybe,Possibly,Possibly,23.0,female,Canada,,Canada,
More than 1000,0.0,1.0,No,would be afraid of not getting the job ,No,would be afraid of not getting the job ,"Yes, I observed",Yes,Yes,Possibly,50.0,Female,United States of America,Texas,United States of America,Texas
,,,No,"
",No,"
",Maybe/Not sure,Maybe,No,No,24.0,female,Jordan,,Jordan,
25-Jun,1.0,1.0,Maybe,I would if it would have an effect on my work. I wouldn't if it wouldn't have.,No,I would if it would have an effect on my work. I wouldn't if it wouldn't have.,No,No,No,No,29.0,Female,Hungary,,Hungary,
More than 1000,0.0,1.0,Maybe,It would depend on whether I thought the issue would impact my ability to do the job.,Maybe,It would depend on whether I thought the issue would impact my ability to do the job.,Maybe/Not sure,No,Possibly,Possibly,42.0,female,United States of America,Illinois,United States of America,Illinois
,,,Maybe,,Maybe,,No,No,Possibly,Possibly,35.0,Male,Australia,,Australia,
100-500,1.0,1.0,Maybe,,Maybe,,No,,No,Don't Know,22.0,Male,United States of America,Arizona,United States of America,Arizona
500-1000,1.0,1.0,Maybe,I just don't know if it's their business.,No,I just don't know if it's their business.,Maybe/Not sure,No,Possibly,Yes,39.0,Female,United States of America,Utah,United States of America,Utah
25-Jun,1.0,1.0,Maybe,"My physical health issue is Celiac disease, which makes it difficult to have company outings -- need to find a safely gluten-free restaurant -- and wouldn't want them to think I couldn't be a team player because of food-finding difficulties.",No,"My physical health issue is Celiac disease, which makes it difficult to have company outings -- need to find a safely gluten-free restaurant -- and wouldn't want them to think I couldn't be a team player because of food-finding difficulties.","Yes, I observed",No,Possibly,Possibly,29.0,femalw,Canada,,Canada,
,,,Maybe,I am not sure depends on the interviewer ,Maybe,I am not sure depends on the interviewer ,No,,No,No,20.0,Male,India,,India,
5-Jan,0.0,0.0,No,Scared of not getting the job,Maybe,Scared of not getting the job,No,Maybe,Yes,Yes,36.0,female,United Kingdom,,United Kingdom,
100-500,1.0,1.0,Maybe,stereotype,Maybe,stereotype,Maybe/Not sure,Maybe,Yes,Yes,30.0,femail,Croatia,,Croatia,
,,,No,I don't feel that I have a physical health issue that would impact my ability to do tech work.,No,I don't feel that I have a physical health issue that would impact my ability to do tech work.,"Yes, I observed",Maybe,Possibly,No,36.0,male,United States of America,Utah,United States of America,Utah
25-Jun,1.0,1.0,No,I would be concerned that it might impact my employability ,No,I would be concerned that it might impact my employability ,"Yes, I observed",Yes,Yes,No,31.0,Male,South Africa,,South Africa,
25-Jun,1.0,1.0,Maybe,Stigma? I don't have a physical health issue so I don't know what this hypothetical issue might be and I could see the answer changing based on what it was.,Maybe,Stigma? I don't have a physical health issue so I don't know what this hypothetical issue might be and I could see the answer changing based on what it was.,No,No,Possibly,Possibly,28.0,male,United States of America,California,United States of America,California
26-100,0.0,1.0,Yes,I would if it were relevant to the job or would affect my performance regularly.,Maybe,I would if it were relevant to the job or would affect my performance regularly.,No,No,No,No,28.0,Male (cis),United States of America,Pennsylvania,United States of America,Pennsylvania
More than 1000,0.0,1.0,No,,No,,Maybe/Not sure,,Yes,Yes,25.0,Female,United States of America,New Jersey,United States of America,New Jersey
26-100,1.0,1.0,No,"I would make sure that it's not an issue for my work performance, as far as possible",No,"I would make sure that it's not an issue for my work performance, as far as possible",No,No,Yes,Possibly,30.0,male,Bulgaria,,Bulgaria,
,,,Maybe,"Irrelevant unless it relates to my job. Specifically, being on my feet for more than a few hours is a problem for me, but not a problem at desk work.",Maybe,"Irrelevant unless it relates to my job. Specifically, being on my feet for more than a few hours is a problem for me, but not a problem at desk work.",Maybe/Not sure,No,Possibly,No,45.0,m,New Zealand,,New Zealand,
100-500,1.0,1.0,Maybe,It would depend if I would feel discriminated and if the issue would create impediments for the proposed job,No,It would depend if I would feel discriminated and if the issue would create impediments for the proposed job,No,,No,No,31.0,Male,Italy,,Italy,
100-500,1.0,1.0,No,,No,,No,No,No,No,36.0,Male,Romania,,Romania,
25-Jun,1.0,1.0,Maybe,,Maybe,,No,No,No,No,37.0,male,Argentina,,Argentina,
26-100,1.0,1.0,Maybe,"It would depend if it's relevant to the workplace.  Eg, inability to sit/stand at a desk for long periods. If relevant, it makes sense to ensure that a standing/sitting desk is available.",Maybe,"It would depend if it's relevant to the workplace.  Eg, inability to sit/stand at a desk for long periods. If relevant, it makes sense to ensure that a standing/sitting desk is available.",No,No,No,No,37.0,Male,United States of America,Illinois,United States of America,Illinois
,,,No,Because it is not of their business. They won't help anyway.,No,Because it is not of their business. They won't help anyway.,No,No,Possibly,No,28.0,male,Russia,,Russia,
26-100,1.0,1.0,No,"is a job interview from an employer, not a doctor.",No,"is a job interview from an employer, not a doctor.",No,No,Possibly,No,37.0,male,Spain,,Spain,
26-100,1.0,1.0,No,"duh, will not get the job obviously",No,"duh, will not get the job obviously",No,,No,Don't Know,37.0,male,Bulgaria,,Bulgaria,
,,,Maybe,fear iy would impact negatively,No,fear iy would impact negatively,"Yes, I experienced",Yes,Yes,Yes,64.0,m,Australia,,Australia,
,,,Maybe,better understanding of my situation /fairplay,Maybe,better understanding of my situation /fairplay,Maybe/Not sure,Yes,No,No,34.0,female,Germany,,Eritrea,
,,,Yes,Mental health issues are considered a taboo and in my society have impact,No,Mental health issues are considered a taboo and in my society have impact,Maybe/Not sure,Maybe,Possibly,Possibly,34.0,Male,Greece,,Greece,
,,,No,,Maybe,,No,,No,No,36.0,Male,Spain,,Spain,
,,,No,,No,,No,,No,No,26.0,m,Brazil,,United States of America,Massachusetts
100-500,1.0,1.0,Yes,A physical health issue can be something which keeps me away from work or makes me perform worse than my average performance. And future employees should know about this.,Maybe,A physical health issue can be something which keeps me away from work or makes me perform worse than my average performance. And future employees should know about this.,No,,No,Don't Know,33.0,male,Hungary,,Austria,
